product_id,price,competitor_price,discount,cogs,month,sales
P7,440,113,25,254,2,80
P20,259,423,18,176,8,204
P15,467,333,4,92,7,117
P11,396,170,28,42,11,116
P8,66,156,4,218,5,200
P7,177,470,19,237,12,233
P19,476,224,16,143,5,86
P11,492,253,20,51,7,121
P11,413,214,9,243,9,110
P4,300,354,4,200,11,164
P8,228,169,3,83,9,159
P3,231,93,5,155,9,141
P2,201,361,25,233,6,192
P12,74,205,3,223,10,198
P6,229,416,29,198,6,187
P2,247,256,6,181,3,170
P1,393,439,6,64,1,150
P12,210,157,17,213,7,170
P12,226,300,2,86,4,181
P17,334,494,0,251,1,171
P10,112,453,23,192,8,243
P16,199,419,24,48,12,228
P15,203,383,3,293,6,202
P15,205,179,5,142,6,137
P19,419,342,8,59,2,153
P12,98,69,21,164,1,181
P20,386,331,13,96,2,135
P3,133,334,27,94,4,220
P5,410,50,11,54,2,103
P19,226,168,27,66,1,163
P7,197,84,24,30,7,155
P9,167,247,19,66,11,213
P7,391,294,23,170,11,139
P18,112,108,24,261,12,164
P4,238,374,3,165,8,190
P14,409,210,20,217,6,97
P18,98,228,29,157,4,226
P9,376,255,23,230,6,137
P2,306,61,11,156,3,115
P20,273,325,9,286,12,162
P15,190,230,29,193,8,201
P7,264,291,21,64,10,183
P12,484,265,27,223,2,87
P8,428,300,6,220,5,117
P15,489,348,2,133,1,131
P3,260,175,22,52,6,152
P14,367,266,27,294,2,123
P17,81,355,13,289,4,228
P4,207,334,23,104,6,205
P18,334,234,9,101,10,131
P8,354,88,15,288,11,101
P4,478,272,15,217,8,120
P2,335,233,21,202,12,138
P6,193,476,9,74,8,225
P10,473,227,24,90,11,91
P4,68,456,12,112,6,268
P18,67,477,5,152,4,273
P12,306,343,11,45,8,182
P2,127,389,8,95,8,234
P10,420,200,12,174,10,96
P4,224,433,3,191,1,190
P14,243,175,23,263,4,155
P16,162,350,10,173,4,218
P15,163,357,19,217,7,194
P8,271,385,17,42,11,215
P14,215,483,25,213,7,229
P8,484,283,10,140,11,116
P16,368,429,24,244,8,149
P13,181,424,20,149,11,211
P18,434,57,3,84,5,72
P15,313,390,17,56,7,192
P13,462,178,0,147,8,100
P9,104,313,26,250,9,226
P15,408,206,6,260,3,93
P13,180,401,5,82,3,210
P1,337,407,14,262,4,173
P7,315,54,17,187,5,96
P9,415,135,23,298,10,100
P1,211,224,10,50,1,178
P12,429,339,19,82,7,156
P8,136,242,23,243,9,201
P11,104,360,14,60,8,240
P19,337,168,15,212,5,113
P17,227,267,6,52,4,179
P8,440,476,20,61,12,171
P3,398,463,9,103,7,168
P3,57,163,25,39,5,218
P1,370,194,11,83,7,123
P5,362,75,23,81,12,110
P10,296,185,13,177,1,115
P7,372,352,24,189,1,156
P9,492,281,4,43,10,96
P7,304,418,25,207,3,172
P9,377,125,20,82,11,96
P8,103,377,17,51,2,229
P12,298,394,4,59,2,171
P2,288,351,2,220,7,155
P1,278,338,22,289,12,185
P16,116,50,25,234,10,159
P5,100,196,4,88,2,204
P3,146,336,23,293,11,209
P12,141,191,16,41,4,201
P8,313,102,18,148,2,119
P3,467,353,18,277,6,99
P1,340,118,24,156,8,132
P3,145,410,20,104,10,256
P5,137,139,11,233,4,152
P15,127,495,24,78,5,254
P14,337,269,28,108,4,153
P3,169,499,8,270,3,216
P1,351,241,0,183,5,129
P5,449,112,17,125,9,76
P14,214,122,20,243,8,167
P7,231,210,3,238,8,162
P9,447,218,9,117,8,104
P15,272,138,24,293,12,138
P15,360,225,6,186,8,132
P10,481,318,21,185,7,105
P13,56,122,22,168,8,193
P19,379,294,0,150,11,130
P7,312,126,16,94,8,138
P17,210,208,23,136,8,177
P20,200,373,28,176,12,195
P4,134,147,28,166,10,178
P5,196,430,1,191,7,207
P7,161,151,27,129,12,181
P13,430,181,25,170,1,122
P15,452,151,10,112,4,74
P11,85,68,8,206,4,176
P4,334,131,6,227,5,121
P13,237,446,21,141,10,237
P7,131,328,16,85,6,221
